0.3229,0.5084,0.2875,0.5582,0.146,0.474,0
0.414,0.5371,0.4078,0.5425,0.061,0.714,0
0.3913,0.4426,0.3863,0.4475,0.583,0,0
0.3824,0.4569,0.3823,0.4701,0.0993,0.5625,0
0.4637,0.6915,0.4653,0.6901,0.0512,0.9022,0
0.4919,0.6829,0.4967,0.688,0.0985,0.9726,0
0.479,0.642,0.479,0.642,0.073,0.8109,0
0.5112,0.669,0.501,0.6738,0.0962,0.9704,0
0.4872,0.5941,0.4872,0.5941,0.0512,0.6994,0
0.391,0.6822,0.4004,0.6808,0,0.7724,0
0.4631,0.4476,0.4631,0.4477,0.0727,0.6955,0
0.3257,0.598,0.3045,0.6313,0,0.5553,0
0.4035,0.5114,0.4035,0.5114,0.0506,0.7001,0
0.272,0.4658,0.2313,0.5471,0.1254,0.5125,0
0.3299,0.5103,0.3073,0.5364,0.0357,0.6533,0
0.3454,0.5002,0.3317,0.5479,0.0532,0.6786,0
0.3929,0.5597,0.3832,0.5822,0.0269,0.804,0
0.4359,0.5177,0.42,0.5448,0.0553,0.7749,0
0.3917,0.5458,0.3853,0.5749,0.0782,0.6216,0
0.2973,0.6265,0.2989,0.7077,0,0.6271,0
0.404,0.4786,0.4016,0.4757,0.0616,0.6878,0
0.3517,0.5489,0.3425,0.5654,0.1384,0.6615,0
0.3917,0.5224,0.3867,0.5329,0.1186,0.6809,0
0.3158,0.5882,0.3135,0.607,0,0.7419,0
0.3785,0.4958,0.3429,0.537,0.0387,0.6945,0
0.416,0.531,0.4027,0.5599,0.1157,0.7233,0
0.2877,0.4636,0.249,0.5541,0,0.2227,0
0.4054,0.4256,0.4054,0.4256,0.0237,0.6829,0
0.3009,0.4988,0.2982,0.5087,0.0337,0.5995,0
0.4331,0.416,0.4329,0.4164,0.1169,0.5477,0
0.3569,0.4665,0.3492,0.4744,0.0344,0.5259,0
0.342,0.5092,0.3247,0.5463,0,0.5809,0
0.3145,0.5249,0.2813,0.5735,0,0.5332,0
0.3655,0.4757,0.3526,0.5057,0.0476,0.5856,0
0.2072,0.3597,0.2184,0.5166,0.0358,0.3277,0
0.3305,0.5288,0.3165,0.5742,0.0284,0.693,0
0.3026,0.3818,0.2935,0.4007,0.0689,0.5324,0
0.3058,0.4979,0.2745,0.5567,0.0595,0.5977,0
